DC,VM,Cluster,Host,Network adapter 1,Network adapter 2,Network adapter 3,Network adapter 4,Network adapter 5,Network adapter 6,Network adapter 7,Network adapter 8,Network adapter 9,Network adapter 10
mcts-vc-a-dc,template,nsx-t-cluster,10.10.11.14,vm-mgmt,,,,,,,,,
mcts-vc-a-dc,nsxtcloud_Avi_NSX-se-aylha,nsx-t-cluster,10.10.11.14,new-mgmt,new-data,,,,,,,,
mcts-vc-a-dc,nsxtcloud_Avi_NSX-se-camre,nsx-t-cluster,10.10.11.14,new-mgmt,,,,,,,,,
mcts-vc-a-dc,AVI-Controller-1,nsx-t-cluster,10.10.11.14,vm-mgmt,,,,,,,,,
mcts-vc-a-dc,AviController-1,nsx-t-cluster,10.10.11.14,vm-mgmt,,,,,,,,,
mcts-vc-a-dc,vm-1,nsx-t-cluster,10.10.11.14,new-data,,,,,,,,,
mcts-vc-a-dc,Edge3-1,nsx-t-cluster,10.10.11.14,vm-mgmt,Edge-trunk,Edge-trunk-2,,,,,,,
mcts-vc-a-dc,test-1,nsx-t-cluster,10.10.11.13,vm-mgmt,Edge-trunk,Edge-trunk-2,,,,,,,
mcts-vc-a-dc,vm-3,nsx-t-cluster,10.10.11.13,new-data,,,,,,,,,
mcts-vc-a-dc,mcts-nsx-t,nsx-t-cluster,10.10.11.13,vm-mgmt,,,,,,,,,
mcts-vc-a-dc,mcts-nsx-v,mcts-vc-a-cluster,10.10.11.12,vm-mgmt,,,,,,,,,
mcts-vc-a-dc,cITopus-Platform-Appliance-630-6423,mcts-vc-a-cluster,10.10.11.12,vm-mgmt,,,,,,,,,
mcts-vc-a-dc,S-VM-7,mcts-vc-a-cluster,10.10.11.11,vm-mgmt,,,,,,,,,
mcts-vc-a-dc,k8s-master,mcts-vc-a-cluster,10.10.11.11,k8s-mgmt,,,,,,,,,
mcts-vc-a-dc,docker-host1,mcts-vc-a-cluster,10.10.11.11,k8s-mgmt,,,,,,,,,
mcts-vc-a-dc,edge-4-0,mcts-vc-a-cluster,10.10.11.11,vm-mgmt,vxw-dvs-7-virtualwire-1-sid-5001-Transit-LS,vxw-dvs-7-virtualwire-5-sid-5005-LS-4,,,,,,,
mcts-vc-a-dc,Controller-1-NSX-controller-1,mcts-vc-a-cluster,10.10.11.11,vm-mgmt,,,,,,,,,
mcts-vc-a-dc,Dlr-1-0,mcts-vc-a-cluster,10.10.11.11,vm-mgmt,,vxw-dvs-7-virtualwire-1-sid-5001-Transit-LS,,,,,,,
mcts-vc-a-dc,edge-1-0,mcts-vc-a-cluster,10.10.11.11,vm-mgmt,vxw-dvs-7-virtualwire-1-sid-5001-Transit-LS,,,,,,,,
mcts-vc-a-dc,vm-2,mcts-vc-a-cluster,10.10.11.11,vxw-dvs-7-virtualwire-2-sid-5002-LS-1,,,,,,,,,
mcts-vc-a-dc,edge-3-0,mcts-vc-a-cluster,10.10.11.11,vxw-dvs-7-virtualwire-4-sid-5004-LS-3,,,,,,,,,
mcts-vc-a-dc,S-VM-5,mcts-vc-a-cluster,10.10.11.11,vxw-dvs-7-virtualwire-4-sid-5004-LS-3,,,,,,,,,
mcts-vc-a-dc,S-VM-6,mcts-vc-a-cluster,10.10.11.11,vxw-dvs-7-virtualwire-5-sid-5005-LS-4,,,,,,,,,
mcts-vc-a-dc,k8s-worker2,mcts-vc-a-cluster,10.10.11.10,k8s-mgmt,,,,,,,,,
mcts-vc-a-dc,mcts-vc-a,mcts-vc-a-cluster,10.10.11.10,vm-mgmt,,,,,,,,,
mcts-vc-a-dc,S-GUI_VM,mcts-vc-a-cluster,10.10.11.10,vxw-dvs-7-virtualwire-4-sid-5004-LS-3,,,,,,,,,
mcts-vc-a-dc,cITopus-Utility-Appliance-180-0148,mcts-vc-a-cluster,10.10.11.10,vm-mgmt,,,,,,,,,
mcts-vc-a-dc,docker-host3,mcts-vc-a-cluster,10.10.11.10,k8s-mgmt,,,,,,,,,
mcts-vc-a-dc,SK-01,mcts-vc-a-cluster,10.10.11.10,vm-mgmt,,,,,,,,,
mcts-vc-a-dc,vm-4,mcts-vc-a-cluster,10.10.11.10,vxw-dvs-7-virtualwire-3-sid-5003-LS-2,,,,,,,,,
mcts-vc-a-dc,k8s-worker1,mcts-vc-a-cluster,10.10.11.10,k8s-mgmt,,,,,,,,,
mcts-vc-a-dc,docker-host2,mcts-vc-a-cluster,10.10.11.10,k8s-mgmt,,,,,,,,,
