DC,VM,Cluster,Host,Network adapter 1,Network adapter 2,Network adapter 3,Network adapter 4,Network adapter 5,Network adapter 6,Network adapter 7,Network adapter 8,Network adapter 9,Network adapter 10
mcts-vc-a-dc,SupervisorControlPlaneVM (2),tanzu-cluster,esxi8.mastercom.local,vm-mgmt,workload-mgmt,,,,,,,,
mcts-vc-a-dc,SupervisorControlPlaneVM (1),tanzu-cluster,esxi9.mastercom.local,vm-mgmt,workload-mgmt,,,,,,,,
mcts-vc-a-dc,SupervisorControlPlaneVM (3),tanzu-cluster,esxi7.mastercom.local,vm-mgmt,workload-mgmt,,,,,,,,
mcts-vc-a-dc,haproxy,tanzu-cluster,esxi7.mastercom.local,vm-mgmt,workload-mgmt,frontend-mgmt,,,,,,,
mcts-vc-a-dc,ubuntu-vm,tanzu-cluster,esxi7.mastercom.local,vm-mgmt,,,,,,,,,
mcts-vc-a-dc,mcts-vc-a,mcts-nsxv-cluster,esxi2.mastercom.local,vm-mgmt,,,,,,,,,
mcts-vc-a-dc,citopus-650,mcts-nsxv-cluster,esxi2.mastercom.local,vm-mgmt,,,,,,,,,
mcts-vc-a-dc,SK-03,mcts-nsxv-cluster,esxi2.mastercom.local,nfs-mgmt,esxi-mgmt,vm-mgmt,nfs-mgmt,,,,,,
mcts-vc-a-dc,SK-1,mcts-nsxv-cluster,esxi1.mastercom.local,vm-mgmt,,,,,,,,,
mcts-vc-a-dc,SK-04,mcts-nsxv-cluster,esxi1.mastercom.local,vm-mgmt,vm-mgmt,vm-mgmt,vm-mgmt,,,,,,
mcts-vc-a-dc,nsx-v-mngr,mcts-nsxv-cluster,esxi1.mastercom.local,vm-mgmt,,,,,,,,,
mcts-vc-a-dc,new-0,mcts-nsxv-cluster,esxi3.mastercom.local,vm-mgmt,,,,,,,,,
mcts-vc-a-dc,DLR-1-0,mcts-nsxv-cluster,esxi3.mastercom.local,vm-mgmt,vm-mgmt,vm-mgmt,vm-mgmt,vm-mgmt,vm-mgmt,vm-mgmt,vm-mgmt,vm-mgmt,vm-mgmt
mcts-vc-a-dc,VM-2,mcts-nsxv-cluster,esxi3.mastercom.local,vm-mgmt,,,,,,,,,
mcts-vc-a-dc,controller-1-NSX-controller-3,mcts-nsxv-cluster,esxi3.mastercom.local,vm-mgmt,,,,,,,,,
mcts-vc-a-dc,VM-3,mcts-nsxv-cluster,esxi3.mastercom.local,vm-mgmt,,,,,,,,,
mcts-vc-a-dc,VM-4,mcts-nsxv-cluster,esxi3.mastercom.local,vm-mgmt,,,,,,,,,
mcts-vc-a-dc,VM-1,mcts-nsxv-cluster,esxi3.mastercom.local,vm-mgmt,,,,,,,,,
mcts-vc-a-dc,SK-02,mcts-nsxv-cluster,esxi3.mastercom.local,vm-mgmt,vm-mgmt,,,,,,,,
